"3680367","Jardín","-75.83333","5.58333"
"4241692","3","850000000","700","SE VENDE CASA FINCA EN JARDIN ANTIOQUIA"
"4337336","None","960000000","None","VENTA DE FINCA EN JARDIN ANTIOQUIA"
"3394816","6","485000000","86","VENTA APARTAMENTO CASA 40 CABECERA"
"3716007","6","270000000","100","PARTAMENTO DE 100 MTS2 EN EL MEJOR SECTOR DEL RODADERO."
"4197562","None","950000000","None","noroeste-antioquia"
"4161178","6","780000000","137","VENDO APARTAMENTO ESTRENAR CABECERA CASA 40"
"3827227","None","170000000","104","VENDO CASA UNIFAMILIAR EN BARRIO MARACAIBO"
"4190292","None","960000000","6000","VENDO FINCA EN JARDIN."
"3889984","6","680000000","None","VENTA DE CASA EN EL JARDÍN"
"3696076","6","1400000","90","ARRIENDO APARTAMENTO CABECERA BUCARAMANGA"
"4444230","3","500000000","113","SE VENDE CASA EN JARDIN ANTIOQUIA"
"4430049","None","150000000","3000","Lote Campestre Jardin Antioquia"
"4329414","6","550000000","106","Cabecera cerro dorado 3 alcobas"
"4407029","None","850000000","700","vendo casa finca en Jardín (Antioquia)"
