"3685950","Copacabana","-75.5","6.33333"
"3918924","3","240000000","80","Apartamento en Venta. Copacabana, San Juan De La Tasajera. "
"3943355","3","240000000","70","Apartamento en venta Copacabana Cristo rey"
"2757419","5","3800000000","12588","VENDO DOS CASAS CONDOMINIO PRIVADO COPACABANA ANT"
"2896500","5","1500000000","5400","VENDO CASA FINCA EN COPACABANA ANTIOQUIA"
"4289771","2","1500000000","3000","Se vende hermosa casa campestre en Copacabana (c)"
"4011176","3","1650000000","2000","Antioquia - Copacabana - La Misericordia"
"2375487","3","1850000000","2600","Vendo casa-finca en copacabana, parte baja"
"3959945","3","230000000","82","Apartamento en Venta. Copacabana, San Juan de la Tasajera. "
"4291995","3","215000000","70","Apartamento en venta en Bello, Machado"
"4278781","3","450000000","140","Casa en venta Copacabana Antioquia "
"2624527","6","7701000","453","Bodega industrial para el alquiler en Copacabana."
"2729931","6","10400000","550","ALQUILO BODEGA INDUSTRIAL 550 M2 COPACABANA ANT"
"2640038","6","9843000","579","Alquiler de Bodega 579 m2  en Copacabana."
"3915793","5","5000000","5400","Antioquia - Medellín"
"4289995","4","175000000","56","SE VENDE APARTAMENTO EN BELLO SECTOR MACHADO"
"2729966","6","9500000","550","ALQUILO BODEGA INDUSTRIAL 550 M2 COPACABANA ANT"
"3100143","4","3800000000","438813","Casa finca en Venta en Copacabana"
"4246854","2","700000000","2263","Casa en Venta en Copacabana - Copacabana"
"4246857","5","1800000000","9800","Finca en Venta en Copacabana - Copacabana"
"2536338","3","310000000","70","APARTAMENTO BELLO PUERTA DEL NORTE. SE VENDE"
"3887527","2","1300000000","4591","Antioquia - Copacabana - Vereda El Zarzal"
"3944483","3","221450000","70","APARTAMENTO EN VENTA - COPACABANA COD. 19534"
"4182828","2","163000000","80","CASA BIFAMILIAR EN VENTA - SECTOR EL RECREO, COPACABANA COD: 24269"
"4192341","3","2500000000","4798","CASA FINCA EN  VENTA - SECTOR ANCON, COPACABANA COD: 24248"
"4210281","4","2550000000","950","Se vende Finca Copacabana Altos de villa roca ,Medellin"
"4039766","4","3800000000","12800","Antioquia - Copacabana"
"4173457","3","200000000","61","APARTAMENTO EN VENTA - SECTOR MACHADO, COPACABANA COD: 24262"
"4211225","4","2550000000","3000","Venta Finca Copacabana, Antioquia"
"2572180","3","169000000","61","APARTAMENTO EN VENTA - COPACABANA COD: 18365"
"2572997","3","285000000","81","APARTAMENTO EN VENTA -COPACABANA COD: 18385"
"2624269","3","182000000","52","APARTAMENTO EN VENTA - COPACABANA COD: 18903"
"2627367","2","154500000","67","APARTAMENTO EN VENTA -  COPACABANA COD: 18961"
"4227983","3","270000000","73","APARTAMENTO EN VENTA - SECTOR FATIMA, COPACABANA COD: 23822"
"4214405","3","158000000","61","Apto en Copacabana"
"4215537","4","2550000000","3000","Finca de recreo en Venta Copacabana Antioquia."
"4218614","3","269000000","70","Apartamento en Venta Copacabana Antioquia "
"2640032","6","6290000","370","Alquilo Bodegas industrial en Copacabana 370 m2"
"2640114","6","6407000","377","Antioquia - Copacabana - Villa Nueva"
"4249371","3","144492000","50","VENTA DE PROYECTO DE APARTAMENTOS EN LOMA LOS ÁLVARES, COPACABANA"
"1737123","3","1702400000","532","BODEGA EN VENTA EN Copacabana "
"2624522","6","6290000","370","ARRIENDO BODEGAS INDUSTRIALES EN COPACABANA SOBRE AUTOPISTA "
"1736719","3","59600000","4000","BODEGA EN ARRIENDO EN Copacabana "
"1736784","3","160000000","8000","BODEGA EN ARRIENDO EN Copacabana "
"1736786","3","240000000","12000","BODEGA EN ARRIENDO EN Copacabana "
"1736789","3","360000000","18000","BODEGA EN ARRIENDO EN Copacabana "
"1736932","3","95000000","5000","BODEGA EN ARRIENDO EN Copacabana "
"1736933","3","57000000","3000","BODEGA EN ARRIENDO EN Copacabana "
"4171821","2","65000000","20","APARTAESTUDIO EN VENTA - SECTOR NIQUIA, BELLO COD: 24185"
"2639488","2","103000000","40","APARTAMENTO EN VENTA - COPACABANA COD: 19120"
"2650734","3","180000000","61","APARTAMENTO EN VENTA -COPACABANA COD: 19181"
"2678980","2","195700000","129","APARTAMENTOS EN VENTA -  COPACABANA COD: 19488"
"2226578","2","125000000","52","IDEAL CASA BIFAMILIAR VENTA COPACABANA COD: 17358"
"4238354","3","1000000000","4169","VENTA DE FINCA EN LA VETA, COPACABANA ANTIOQUIA"
"4238838","3","228000000","50","VENTA DE CASA EN COPACABANA ANTIOQUIA"
"1736720","3","59600000","4000","BODEGA EN ARRIENDO EN Copacabana "
"1736785","3","160000000","8000","BODEGA EN ARRIENDO EN Copacabana "
"1736787","3","240000000","12000","BODEGA EN ARRIENDO EN Copacabana "
"1736788","3","360000000","18000","BODEGA EN ARRIENDO EN Copacabana "
"1736931","3","95000000","5000","BODEGA EN ARRIENDO EN Copacabana "
"1736934","3","57000000","3000","BODEGA EN ARRIENDO EN Copacabana "
"1736935","3","38000000","2000","BODEGA EN ARRIENDO EN Copacabana "
"1736936","3","38000000","2000","BODEGA EN ARRIENDO EN Copacabana "
"4115030","3","165000000","52","Apartamento en Venta. Copacabana, Reservas de San Juan "
"3898107","6","5500000000","11300","Venta finca copacabana noral"
"3901077","4","1850000000","2600","Se vende Hermosa Finca en Copacabana Antioquia"
"3876328","5","2700000000","10600","Vendo Finca en Copacabana Antioquia"
"4303621","None","2200000000","10000","Antioquia - Copacabana"
"4014125","3","160000000","60","Antioquia - Copacabana"
"4278946","3","300000000","35","Local comercial en venta Copacabana Antioquia "
"4191197","2","350000000","132","VENDO CASA EN COPACABANA"
"4006874","5","4500000000","10000","Finca en Venta Copacabana Antioquia "
"4088736","3","198000000","44","APARTAMENTO NUEVO EN COPACABANA CIUDADELA VIVENZA FONTIDUEÑO"
"3854139","3","225000000","69","Apartamento en venta en Machado Copacabana Antioquia"
"4014154","3","160000000","60","Antioquia - Copacabana"
"4264832","4","1780000000","18000","Venta Finca Vereda El Jardín, Belen - Medellín."
"3952567","3","480000000","3700","VENDO FINCA EN COPACABANA  CON CASA DE MAYORDOMO"
"4280133","3","205000000","None","Avenida 31"
"3100093","4","320000000","110","Antioquia - Copacabana"
"4273319","3","590000000","4800","CASA FINCA EN SANTA ELENA"
"4171174","3","10000000000","40000","FINCA EN VENTA EN Copacabana "
"3906935","5","1300000000","8554","Antioquia - Guarne - El Cabuyal"
"3973760","3","976000000","6100","Lote en venta Vereda La Veta Copacabana "
"4210383","3","475000000","315","Venta de espectacular Casa lote"
"3292253","3","200000000","88","HERMOSA CASA EN COPACABANA "
"4202596","4","1300000000","2200","ESPECTACULAR FINCA EN COPACABANA"
"4165851","3","240000000","59","Apartamento Bello, Antioquia Sector Machado - Se Vende"
"4180387","2","170000000","61","APARTAMENTO EN VENTA - SECTOR MACHADO, COPACABANA COD: 24341"
"2132261","4","4400000000","6000","VENTA FINCA USO MIXTO COPACABANA NORAL ANTIOQUIA "
"3398476","4","900000000","2500","Finca de descanso en venta Copacabana Antioquia"
"1736726","5","2000000000","2000","LOTE EN VENTA EN Copacabana "
"1736778","6","5000000000","2700","BODEGA EN VENTA EN Copacabana "
"2150808","3","194260000","56","APARTAMENTO EN VENTA EN COPACABANA "
"2150809","3","264480000","75","APARTAMENTO EN VENTA EN COPACABANA "
"1845442","3","236400000","65","APARTAMENTO EN VENTA EN COPACABANA "
"1845447","3","263632000","73","APARTAMENTO EN VENTA EN COPACABANA "
"3026748","3","263632000","73","APARTAMENTO EN VENTA EN COPACABANA "
"3026749","3","263632000","73","APARTAMENTO EN VENTA EN COPACABANA "
"3039589","3","236400000","65","APARTAMENTO EN VENTA EN COPACABANA "
"2624544","3","269488000","75","APARTAMENTO EN VENTA EN COPACABANA "
"1649845","3","205000000","70","Venta de apartamento nuevo Copacabana antioquia"
"4402868","None","880000000","180","Finca en Venta Copacabana Vereda el Zarzal"
"4363606","None","272500000","78","Apartamento en Copacabana, sector Machado"
"2150807","3","188830000","55","APARTAMENTO EN VENTA EN COPACABANA "
"1845439","3","236400000","65","APARTAMENTO EN VENTA EN COPACABANA "
"1845443","3","236400000","65","APARTAMENTO EN VENTA EN COPACABANA "
"1845448","3","210544000","56","APARTAMENTO EN VENTA EN COPACABANA "
"1845450","3","210544000","56","APARTAMENTO EN VENTA EN COPACABANA "
"3039590","3","210544000","56","APARTAMENTO EN VENTA EN COPACABANA "
"3062762","3","190000000","65","APARTAMENTO EN VENTA EN COPACABANA "
"3074116","6","1600000000","1600","FINCA EN VENTA EN COPACABANA "
"4206481","1","500000000","5000","CASAS DE CAMPO EN GUARNE"
"2707540","3","5600000000","8400","Antioquia - Copacabana - San Juan"
"3679103","3","187000000","69","Apartamento en venta en Machado Copacabana Antioquia "
"3918448","6","1960000000","552","Bodega en Venta. Copacabana, Buena Vista."
"3169798","2","2000000000","12800","Antioquia - Copacabana"
"3435736","3","221000000","55","Antioquia - Copacabana - Machado"
"4031365","6","2200000000","5000","!!te ofrezco hermosa casa en excelente parcelacion en Copacabana!!"
"4384457","None","1500000000","300","Finca en Venta, Copacabana, Antioquia, unidad cerrada"
"4168878","2","130000000","184","Venta de cada finca"
"4168820","3","255000000","61","Venta de espectacular apto"
"3901139","3","150000000","50","Apartamento En Venta En Copacabana La Pradera Cod. VMAT12377"
"4352424","None","980000000","472","Finca en Venta, Copacabana, Antioquia, unidad cerrada"
"4230650","None","290000000","115","Casa Copacabana, Antioquia Barrio María - Se Vende"
"4376090","None","950000000","475","Finca en Copacabana"
"4296396","None","196000000","None","copacabana-antioquia"
"4278315","None","198000000","None","copacabana-antioquia"
"4302055","None","190000000","None","copacabana-antioquia"
"4365875","None","270000000","70","Venta Apartamento Bello, Machado, Medellín, Antioquia"
"4389422","None","185730000","52","Apartamento en Copacabana - barrio fatima"
"4375344","None","1500000000","500","Casa Finca en Copacabana Pesebreras"
"4393707","None","1300000000","300","Finca en Copacabana Vereda el Zarzal"
"4377897","None","465000000","73","Finca en Copacabana vereda el Salado"
"4394758","None","2147483647","550","Finca en Venta en Copacabana  Villa roca"
"4383139","None","2147483647","370","Finca en Copacabana vereda pamplemusa"
"4358976","None","1450000000","265","FINCA EN COPACABANA"
"4382847","None","183830000","55","Propiedad en  en Copacabana - Fatima"
"4377678","None","185000000","52","Apartamento en Copacabana Barrio Fátima"
"4363303","None","1650000000","300","FINCA EN VENTA EN COPACABANA"
"4391759","None","920000000","364","Finca en Copacabana Hermosa Vista"
"4264061","None","188500000","51","VENTA DE PROYECTO DE APARTAMENTOS EN COPACABANA ANTIOQUIA"
"2550550","3","150000000","67","Venta apartamento Copacabana-Porvenir"
"4379429","None","750000000","500","Finca en Copacabana Vereda el Zarzal"
"4384411","None","520000000","250","Finca Copacabana Vereda Sabaneta"
"4349619","None","2147483647","1500","FINCA EN COPACABANA"
"4356623","None","2147483647","1500","#casa campestre en venta Copacabana Medellín JZ"
"4362840","None","2147483647","950","Venta Finca Copacabana, Antioquia"
"4391699","None","870000000","250","Finca en Copacabana"
"4398497","None","980000000","350","Finca en Copacabana"
"4373276","None","400000000","300","Finca en Copacabana Vereda Quebrada Arriba"
"4381889","None","189260000","57","Apartamento en Copacabana  Fátima"
